id,nom,insee,adresse,emplacements,statut,latitude,longitude
75117-T-442,Villiers / Cardinet,75117,51 AVENUE DE VILLIERS,3.0,en service,48.88322553536262,"2.3068408064306594"
75117-T-444,Wagram / Place d'Israël,75117,126 AVENUE DE WAGRAM,4.0,en service,48.88480720734847,"2.3033041948892063"
75116-T-423,Bugeaud / La Faisanderie,75116,57 AVENUE BUGEAUD,8.0,en service,48.87121476542796,"2.2779425612746254"
75110-T-329,Saint-Denis Faubourg /Fidélité,75110,96 RUE DU FAUBOURG SAINT-DENIS,7.0,en service,48.874518429597664,"2.355613816455035"
75106-T-241,Place Henri Mondor,75106,93 BOULEVARD SAINT-GERMAIN,4.0,en service,48.85217917700279,"2.3392801730383246"
75108-T-258,Friedland/Arsène Houssaye,75108,34 AVENUE DE FRIEDLAND,3.0,en service,48.87421082299438,"2.2987700659098644"
75111-T-344,Voltaire / Charonne,75111,167 BOULEVARD VOLTAIRE,7.0,en service,48.8546338731498,"2.385756942561757"
75111-T-341,République / Guillaume Bertrand,75111,90 AVENUE DE LA REPUBLIQUE,6.0,en service,48.863790521985905,"2.381552507932785"
75112-T-362,GDL - Châlon - dépose,75112,34 RUE DE CHALON,6.0,en service,48.844411151110045,"2.376765091824946"
75117-T-463,Jouffroy d'Abbans,75117,31 RUE JOUFFROY D'ABBANS,3.0,en service,48.88588428254739,"2.3095035879973205"
75118-T-468,Cimetière Montmartre,75118,16 RUE JOSEPH DE MAISTRE,5.0,en service,48.887348995559826,"2.3323734554928697"
75101-T-209,Amiral de Coligny,75101,6 RUE DE L'AMIRAL DE COLIGNY,11.0,en service,48.860666676929455,"2.340937046872583"
75101-T-213,Place André Malraux,75101,161 RUE SAINT-HONORE,10.0,en service,48.86334592638924,"2.3350132094169704"
75117-T-445,Wagram /Place du Brésil,75117,139 AVENUE DE WAGRAM,4.0,en service,48.88461130567044,"2.3026782355305397"
75118-T-093,Château Rouge,75118,3 RUE CUSTINE,8.0,en service,48.88740641132486,"2.349081221802404"
75118-T-097,Porte d'Aubervilliers,75118,3 AVENUE DE LA PORTE D'AUBERVILLIERS,4.0,en service,48.899392463455506,"2.3700526257203323"
75105-T-010,Gobelins,75105,90 BOULEVARD SAINT MARCEL,6.0,en service,48.83714266058493,"2.3523073255556493"
75107-T-022,Bac - Saint Germain,75107,54 RUE DU BAC,13.0,en service,48.85617447865638,"2.3259754956075205"
75107-T-250,Lowendal / Obelisk,75107,19 AVENUE DE LOWENDAL,6.0,en service,48.850579263309335,"2.3056296128290845"
75115-T-998,Cambronne 2,75115,12 rue cambronne,4.0,station provisoire,48.844326999562234,"2.3023833161855447"
75106-T-900,RASPAIL MONTPARNASSE,75106,132-136 boulevard Raspail,12.0,en service,48.84228907773029,"2.329313830866803"
75102-T-224,Réaumur,75102,108 RUE REAUMUR,2.0,en service,48.86751504333612,"2.347099337515892"
