id;nom;insee;adresse;emplacements;no_appel;info;statut;geo_shape;geopoint;geopoint_datagouv
75105-T-009;Place Saint-Michel;75105;29 QUAI SAINT MICHEL;16;0143296366;;en service;"{""coordinates"": [2.344788975582561, 48.85352754571395], ""type"": ""Point""}";48.85352754571395, 2.344788975582561;2.344788975582561, 48.85352754571395
75115-T-390;Jean Rey /Hotel Pullmann;75115;16 RUE JEAN REY;4;;;en service;"{""coordinates"": [2.2924808170971556, 48.8555012294128], ""type"": ""Point""}";48.8555012294128, 2.2924808170971556;2.2924808170971556, 48.8555012294128
75109-T-308;Haussmann / Chaussée d'Antin;75109;23 BOULEVARD HAUSSMANN;14;;;en service;"{""coordinates"": [2.3335711538224615, 48.872837984471694], ""type"": ""Point""}";48.872837984471694, 2.3335711538224615;2.3335711538224615, 48.872837984471694
75101-T-914;OPERA;75101;30 AVENUE DE L'OPERA;14;;;en service;"{""coordinates"": [2.3336487113910276, 48.86802072101611], ""type"": ""Point""}";48.86802072101611, 2.3336487113910276;2.3336487113910276, 48.86802072101611
75104-T-234;rue Saint Antoine;75104;13 RUE SAINT-ANTOINE;4;;;en service;"{""coordinates"": [2.3667863819295443, 48.85336439015277], ""type"": ""Point""}";48.85336439015277, 2.3667863819295443;2.3667863819295443, 48.85336439015277
75119-T-100;Buttes Chaumont - Botzaris;75119;28 RUE BOTZARIS;3;0142060132;;en service;"{""coordinates"": [2.381266165830271, 48.877820126942005], ""type"": ""Point""}";48.877820126942005, 2.381266165830271;2.381266165830271, 48.877820126942005
75116-T-398;Avenue Pierre Ier De Serbie;75116;12 AVENUE PIERRE IER DE SERBIE;4;;;en service;"{""coordinates"": [2.2969579939595146, 48.866295866541996], ""type"": ""Point""}";48.866295866541996, 2.2969579939595146;2.2969579939595146, 48.866295866541996
75116-T-408;Iéna /Musée Guimet;75116;9 AVENUE D'IENA;5;;;en service;"{""coordinates"": [2.294311138815404, 48.86546185448578], ""type"": ""Point""}";48.86546185448578, 2.294311138815404;2.294311138815404, 48.86546185448578
75109-T-325;Pierre Fontaine;75109;49 RUE PIERRE FONTAINE;4;;;en service;"{""coordinates"": [2.332602516722202, 48.88342604158083], ""type"": ""Point""}";48.88342604158083, 2.332602516722202;2.332602516722202, 48.88342604158083
75110-T-334;Ambroise Paré;75110;3 RUE AMBROISE PARE;10;;;en service;"{""coordinates"": [2.3534298556317843, 48.88173914395166], ""type"": ""Point""}";48.88173914395166, 2.3534298556317843;2.3534298556317843, 48.88173914395166
75110-T-335;Bichat;75110;47 RUE BICHAT;5;;;en service;"{""coordinates"": [2.3668106236009794, 48.87259792267491], ""type"": ""Point""}";48.87259792267491, 2.3668106236009794;2.3668106236009794, 48.87259792267491
75108-T-264;Montaigne/Plaza Athénée;75108;31 AVENUE MONTAIGNE;6;;;en service;"{""coordinates"": [2.305125835613393, 48.86646304322947], ""type"": ""Point""}";48.86646304322947, 2.305125835613393;2.305125835613393, 48.86646304322947
75108-T-266;Plaza Athénée;75108;27 AVENUE MONTAIGNE;7;;du 27 au 29;en service;"{""coordinates"": [2.3045247887429072, 48.86616683237467], ""type"": ""Point""}";48.86616683237467, 2.3045247887429072;2.3045247887429072, 48.86616683237467
75108-T-281;Matignon / Ponthieu;75108;5 AVENUE MATIGNON;6;;;en service;"{""coordinates"": [2.3117408546917217, 48.86988789348369], ""type"": ""Point""}";48.86988789348369, 2.3117408546917217;2.3117408546917217, 48.86988789348369
